pair_type,kinship_estimate
parent-offspring,0.2556756756756757
parent-offspring,0.25642317380352647
parent-offspring,0.2581563956499223
parent-offspring,0.267477990678405
parent-offspring,0.26057906458797325
parent-offspring,0.2443630214205186
parent-offspring,0.25601282736504544
parent-offspring,0.25734901122394443
parent-offspring,0.2532292787944026
parent-offspring,0.25763358778625955
parent-offspring,0.25426706827309237
parent-offspring,0.24601593625498008
parent-offspring,0.2536008230452675
parent-offspring,0.25604113110539845
parent-offspring,0.26384839650145775
parent-offspring,0.2581047381546135
parent-offspring,0.25871766029246346
parent-offspring,0.2618110236220472
parent-offspring,0.24433912585571355
parent-offspring,0.23642347778387274
parent-offspring,0.256631708821715
parent-offspring,0.2643647865050079
parent-offspring,0.2613454351308062
parent-offspring,0.2589442815249267
parent-offspring,0.2530769230769231
parent-offspring,0.2579802669762043
parent-offspring,0.25769230769230766
parent-offspring,0.2555988315481986
parent-offspring,0.2399216125419933
parent-offspring,0.2679171332586786
parent-offspring,0.25112866817155755
parent-offspring,0.2515096618357488
parent-offspring,0.2635593220338983
parent-offspring,0.2558572949946752
parent-offspring,0.2594869053981828
parent-offspring,0.24763328350772296
parent-offspring,0.26498075865860365
parent-offspring,0.27102803738317754
parent-offspring,0.25121713729308665
parent-offspring,0.24149108589951376
parent-offspring,0.25186170212765957
parent-offspring,0.2656914893617021
parent-offspring,0.24358974358974358
parent-offspring,0.24958123953098826
parent-offspring,0.24771689497716895
parent-offspring,0.282559456398641
parent-offspring,0.2583732057416268
parent-offspring,0.25892351274787534
parent-offspring,0.24256837098692033
parent-offspring,0.24526198439241917
parent-offspring,0.24973821989528797
parent-offspring,0.24279615795090714
parent-offspring,0.24271229404309252
parent-offspring,0.24844895657078397
parent-offspring,0.24654023577652487
parent-offspring,0.26359832635983266
parent-offspring,0.24494949494949494
parent-offspring,0.2478540772532189
parent-offspring,0.24757558471192243
parent-offspring,0.27259036144578314
parent-offspring,0.24887892376681614
parent-offspring,0.25
parent-offspring,0.25908045977011496
parent-offspring,0.2514761137949544
parent-offspring,0.25328428796636887
parent-offspring,0.2708333333333333
parent-offspring,0.25922131147540983
parent-offspring,0.25629590766002097
parent-offspring,0.254510661563696
parent-offspring,0.24779800352319437
parent-offspring,0.23876728110599077
parent-offspring,0.2565997888067582
parent-offspring,0.26142697881828314
parent-offspring,0.2725752508361204
parent-offspring,0.24475326148610324
parent-offspring,0.24236517218973358
parent-offspring,0.24545954870665934
parent-offspring,0.26051697921946276
parent-offspring,0.25753228120516497
parent-offspring,0.24759871931696906
full-sibling,0.2628032345013477
full-sibling,0.2737567700640079
full-sibling,0.23939393939393938
full-sibling,0.26891405043746786
full-sibling,0.2751605995717345
full-sibling,0.26427829698857735
full-sibling,0.2855818266110338
full-sibling,0.2587739822180627
full-sibling,0.27067254685777287
full-sibling,0.25
full-sibling,0.23926829268292682
full-sibling,0.24958813838550248
full-sibling,0.26376376376376376
full-sibling,0.27029096477794795
full-sibling,0.2740740740740741
full-sibling,0.2609732824427481
full-sibling,0.27094105480868663
full-sibling,0.26816239316239315
full-sibling,0.2325056433408578
full-sibling,0.25226514067715783
full-sibling,0.3067860508953817
full-sibling,0.2756717850287908
full-sibling,0.23568753344034243
full-sibling,0.2783864541832669
full-sibling,0.28258866881621375
full-sibling,0.2582236842105263
full-sibling,0.2698819907644946
full-sibling,0.265772478887233
full-sibling,0.26573254670599805
full-sibling,0.29180405087140837
full-sibling,0.25880469583778015
full-sibling,0.23089887640449439
full-sibling,0.2857142857142857
full-sibling,0.27292263610315187
full-sibling,0.23755081300813008
full-sibling,0.2469720905739863
full-sibling,0.2540255413659078
full-sibling,0.2602260495156082
full-sibling,0.24838388861263053
full-sibling,0.2502768549280177
unrelated,-0.041331186258722494
unrelated,0.05118326912493121
unrelated,-0.17409184372858122
unrelated,-0.5029661016949153
unrelated,-0.005555555555555556
unrelated,-0.01984126984126984
unrelated,0.07427055702917772
unrelated,-0.0011331444759206798
unrelated,0.027159152634437807
unrelated,-0.03741999015263417
unrelated,-0.06889010388190268
unrelated,-0.005336179295624333
unrelated,0.04031413612565445
unrelated,-0.009954058192955589
unrelated,-0.06331331331331332
unrelated,-0.08150134048257372
unrelated,-0.08685446009389672
unrelated,-0.16029663434112948
unrelated,-0.07183418512208972
unrelated,-0.02632924335378323
unrelated,0.019251626898047724
unrelated,-0.24691358024691357
unrelated,0.05367366412213741
unrelated,0.04704433497536946
unrelated,-0.15576804441702652
unrelated,0.017232767232767232
unrelated,-0.06946006749156355
unrelated,-0.03622087132725431
unrelated,0.031125498007968128
unrelated,-0.3694915254237288
unrelated,-0.05778003041054232
unrelated,0.008039419087136929
unrelated,-0.08226550486929779
unrelated,-0.03146303093864709
unrelated,-0.152442448062886
unrelated,0.05129561078794289
unrelated,-0.08797653958944282
unrelated,-0.023035230352303523
unrelated,-0.0455983131259884
unrelated,-0.15028901734104047
unrelated,0.02199258081611023
unrelated,-0.014013749338974087
unrelated,-0.011005502751375688
unrelated,-0.10240641711229946
unrelated,-0.031031031031031032
unrelated,-0.0946969696969697
unrelated,-0.024224278715296678
unrelated,-0.0771077908217716
unrelated,-0.16587395957193818
unrelated,-0.09556036816459122
unrelated,-0.08708025042686397
unrelated,0.012295081967213115
unrelated,-0.17141196978500872
unrelated,-0.05149413020277481
unrelated,-0.08033240997229917
unrelated,-0.05342465753424658
unrelated,-0.19705277587388623
unrelated,-0.23196881091617932
unrelated,0.035830618892508145
unrelated,0.07343192248852626
unrelated,0.0
unrelated,-0.030153508771929825
unrelated,0.0026219192448872575
unrelated,-0.07293354943273905
unrelated,-0.06605691056910569
unrelated,-0.13874788494077833
unrelated,-0.07915157785825143
unrelated,-0.09035444509006392
unrelated,0.018315018315018316
unrelated,0.011593487913172176
unrelated,0.007335680751173709
unrelated,0.013874873864783047
unrelated,-0.01671583087512291
unrelated,-0.12862430598396052
unrelated,0.06986573843858777
unrelated,0.036076662908680945
unrelated,0.04449152542372881
unrelated,-0.06246434683399886
unrelated,-0.12166761202495746
unrelated,0.030059044551798177
unrelated,-0.08342245989304813
unrelated,0.015699840340606706
unrelated,-0.025267538644470868
unrelated,0.02952029520295203
unrelated,-0.11120218579234972
unrelated,-0.08385286783042394
unrelated,-0.19210866752910738
unrelated,-0.015215110178384051
unrelated,-0.005512679162072767
unrelated,-0.5101694915254237
unrelated,-0.03177966101694915
unrelated,0.02124868835257083
unrelated,0.012152777777777778
unrelated,-0.04094030639197042
unrelated,-0.030833744449926
unrelated,0.18002108592514496
unrelated,0.025407005426739022
unrelated,-0.055676262900597503
unrelated,-0.014698555057299452
unrelated,0.029633933759442184
unrelated,-0.025285972305839857
unrelated,-0.19700139470013947
unrelated,0.07692307692307693
unrelated,-0.0759493670886076
unrelated,-0.008747178329571106
unrelated,0.01407624633431085
unrelated,-0.04102259215219976
unrelated,-0.04897739504843918
unrelated,-0.0014184397163120568
unrelated,-0.12287390029325514
unrelated,0.01639344262295082
unrelated,-0.20996332518337407
unrelated,-0.052890173410404626
unrelated,-0.17233927606699082
unrelated,-0.07028112449799197
unrelated,-0.20426287744227353
unrelated,-0.03162737205290397
unrelated,-0.06963350785340314
unrelated,0.012311135982092894
unrelated,-0.05984970477724101
unrelated,0.08609437751004016
unrelated,0.06524122807017543
unrelated,-0.0061162079510703364
unrelated,-0.09178743961352658
unrelated,-0.17403314917127072
unrelated,-0.16227180527383367
unrelated,-0.037645811240721104
unrelated,0.017965726920950803
unrelated,0.011758691206543968
unrelated,-0.05803345159655347
unrelated,0.01408855664174813
unrelated,-0.08273381294964029
unrelated,-0.02142501245640259
unrelated,-0.026033690658499236
unrelated,0.03353658536585366
unrelated,0.13530287984111222
unrelated,0.1345954356846473
unrelated,-0.27998629198080877
unrelated,-0.06345044572627163
unrelated,-0.13170731707317074
unrelated,-0.14613911933631143
unrelated,-0.036279683377308705
unrelated,-0.07104637336504162
unrelated,-0.07684529828109202
unrelated,-0.05266015200868621
unrelated,-0.041456016177957536
unrelated,-0.09925841414717627
unrelated,-0.054502369668246446
unrelated,0.07037427517132314
unrelated,0.005069370330843116
unrelated,0.07018887187340479
unrelated,-0.12248418631397355
unrelated,-0.047214854111405836
unrelated,-0.14070048309178743
unrelated,-0.06898395721925134
unrelated,-0.06337241764377442
unrelated,0.02904109589041096
unrelated,-0.047593865679534636
unrelated,-0.035609037328094305
unrelated,0.015471892728210418
unrelated,-0.10967379077615298
unrelated,-0.08632707774798927
unrelated,-0.011176157530601383
unrelated,-0.13852556480380498
unrelated,0.0005945303210463733
unrelated,-0.1978658536585366
unrelated,-0.10886007563479201
unrelated,0.01790154152163103
unrelated,0.021584699453551914
unrelated,-0.10694130925507901
unrelated,-0.13974641675854466
unrelated,-0.1378132118451025
unrelated,-0.047305045871559634
unrelated,0.056132542037586546
unrelated,-0.03738569123184508
unrelated,0.06256627783669141
unrelated,0.024704065877509007
unrelated,-0.023758099352051837
unrelated,-0.17064846416382254
unrelated,0.007317073170731708
unrelated,-0.1005464480874317
unrelated,-0.10063254744105808
unrelated,-0.3211629479377958
unrelated,-0.03685047720042418
unrelated,-0.0678365636458879
unrelated,-0.06753926701570681
unrelated,-0.04389312977099236
unrelated,-0.05010172939979654
unrelated,-0.32670850767085075
unrelated,-0.05583756345177665
unrelated,-0.01656013945380593
unrelated,-0.0011730205278592375
unrelated,-0.0718186783178591
unrelated,-0.11891438164521545
unrelated,-0.11067073170731707
unrelated,-0.0961835997937081
unrelated,-0.02641408751334045
unrelated,-0.06418092909535453
