sample_id,trait,population
IND0000,0.4527574638252415,POP_A
IND0001,-0.7350003836193482,POP_A
IND0002,0.6608727253840583,POP_A
IND0003,0.19739135831097354,POP_A
IND0004,-0.9849855751281562,POP_A
IND0005,-0.2900580585204907,POP_A
IND0006,1.2651770675712979,POP_A
IND0007,-0.049925910986252896,POP_A
IND0008,-1.5716427949561462,POP_A
IND0009,-2.4294363071754415,POP_A
IND0010,2.0927729014113705,POP_A
IND0011,1.5859336434058784,POP_A
IND0012,-0.23496443903109449,POP_A
IND0013,-1.0290017300935572,POP_A
IND0014,1.402540748290689,POP_A
IND0015,0.36544406436407834,POP_A
IND0016,1.2829641743333287,POP_A
IND0017,0.43082100300788273,POP_A
IND0018,1.6581428043971465,POP_A
IND0019,-2.2686566069719967,POP_A
IND0020,0.3579888336658029,POP_A
IND0021,-0.8137727282478777,POP_A
IND0022,0.28588281235882185,POP_A
IND0023,1.3223356758529043,POP_A
IND0024,0.07941592547713766,POP_A
IND0025,-0.840156476962528,POP_A
IND0026,-2.7743949988915717,POP_A
IND0027,2.577508171756253,POP_A
IND0028,0.06638599159811476,POP_A
IND0029,-1.2053524944663048,POP_A
IND0030,-1.3423778868940217,POP_A
IND0031,-0.6461138769674398,POP_A
IND0032,0.9869173718780685,POP_A
IND0033,1.0889201594663531,POP_A
IND0034,1.74166034068553,POP_A
IND0035,-1.3315478308648048,POP_A
IND0036,0.4775065426430628,POP_A
IND0037,-2.1894329246593345,POP_A
IND0038,-0.38774878091534337,POP_A
IND0039,0.6312882258385404,POP_A
IND0040,-1.2637924367236537,POP_A
IND0041,-0.9965393959626289,POP_A
IND0042,0.5932222915765575,POP_A
IND0043,-2.387384611014842,POP_A
IND0044,0.7884526946426693,POP_A
IND0045,2.365172873971736,POP_A
IND0046,-0.6724677325612305,POP_A
IND0047,0.7668713341626487,POP_A
IND0048,-1.6828697716158048,POP_A
IND0049,0.5353465327515654,POP_A
IND0050,-0.514115114500322,POP_A
IND0051,1.4564538940966183,POP_A
IND0052,0.03435840018752745,POP_A
IND0053,1.6635787979372654,POP_A
IND0054,-0.3487250722484376,POP_A
IND0055,0.4078797700727731,POP_A
IND0056,1.0513392643891666,POP_A
IND0057,-0.1913043248816149,POP_A
IND0058,-0.4054547606005816,POP_A
IND0059,-4.744035567362362,POP_A
IND0060,-0.9194522860016113,POP_A
IND0061,-0.6882126669282895,POP_A
IND0062,1.8828888615452457,POP_A
IND0063,0.6904853540677682,POP_A
IND0064,-1.1041208259418618,POP_A
IND0065,1.8990028165513948,POP_A
IND0066,0.8189537770993495,POP_A
IND0067,-1.696126971131124,POP_A
IND0068,1.3270068002947517,POP_A
IND0069,-1.3387941206719787,POP_A
IND0070,-0.16969046343305905,POP_A
IND0071,-2.130244656769829,POP_A
IND0072,-1.3972466660178717,POP_A
IND0073,1.357204043522922,POP_A
IND0074,-1.823138699413379,POP_A
IND0075,0.20585750185970017,POP_A
IND0076,2.2212097843805894,POP_A
IND0077,1.3167627387672844,POP_A
IND0078,1.5356166717101265,POP_A
IND0079,0.9651094613599294,POP_A
IND0080,-0.4313419493409731,POP_A
IND0081,-0.07971821090639905,POP_A
IND0082,-1.6873344339580298,POP_A
IND0083,-2.439122500273128,POP_A
IND0084,-0.4524680496170621,POP_A
IND0085,-1.6741150072068094,POP_A
IND0086,0.5931376098554493,POP_A
IND0087,-0.7121156722280481,POP_A
IND0088,0.49206900869795056,POP_A
IND0089,2.1694598605234057,POP_A
IND0090,-1.710000330272081,POP_A
IND0091,0.9308789515990993,POP_A
IND0092,0.129977265859476,POP_A
IND0093,-0.8823057374729575,POP_A
IND0094,-4.5607704082694625,POP_A
IND0095,-1.217308275934722,POP_A
IND0096,-0.5134282217532595,POP_A
IND0097,-2.404188602797676,POP_A
IND0098,0.43442364354585733,POP_A
IND0099,-0.6405395977018817,POP_A
IND0100,0.27608160704054585,POP_A
IND0101,-1.4460578543884546,POP_A
IND0102,0.07212950771386951,POP_A
IND0103,0.5341022368055506,POP_A
IND0104,1.2893600325489158,POP_A
IND0105,-0.8564230545107168,POP_A
IND0106,1.9815945329097997,POP_A
IND0107,0.630875935264316,POP_A
IND0108,-1.023497492621865,POP_A
IND0109,1.0495071976936563,POP_A
IND0110,1.283591629841118,POP_A
IND0111,0.8756827787671218,POP_A
IND0112,0.5199693976698653,POP_A
IND0113,1.4204660050188624,POP_A
IND0114,4.260449837888454,POP_A
IND0115,-1.6722678507961657,POP_A
IND0116,-0.446388149617735,POP_A
IND0117,0.8138871840691556,POP_A
IND0118,-0.38980980315576796,POP_A
IND0119,-1.3766861475563088,POP_A
IND0120,-0.04171723279092321,POP_A
IND0121,1.7046926868327787,POP_A
IND0122,-2.6561797054847114,POP_A
IND0123,-1.2169861016363737,POP_A
IND0124,-0.5647613525839643,POP_A
IND0125,-0.040148632139778484,POP_A
IND0126,1.319862712086459,POP_A
IND0127,2.90581882871051,POP_A
IND0128,0.8011361995400219,POP_A
IND0129,-0.9895381200318641,POP_A
IND0130,-2.132046280731309,POP_A
IND0131,0.2677114623438358,POP_A
IND0132,-1.4898092749156535,POP_A
IND0133,-0.2219938770476726,POP_A
IND0134,0.2581347636775322,POP_A
IND0135,-1.4945272456270402,POP_A
IND0136,0.187705030753484,POP_A
IND0137,-0.32645622902797017,POP_A
IND0138,-0.1586348370386883,POP_A
IND0139,0.027941193043541368,POP_A
